card_code,source_code,orientation,context,meaning_text,advice_text,warning_text,polarity,action_level,speed_level,stability_level,ending_level,origin,source_locator,page_start,page_end,priority,review_status,review_method,review_notes,is_active
HERMIT,WAITE_PKD_1910,UPRIGHT,GENERAL,신중한 관찰과 분별로 위험을 살피되 숨은 의도도 함께 경계하는 상태,결정 전에 위험·비용·증거를 차분히 확인하세요.,,2,2,1,4,0,DERIVED,Part III §3 — 9. The Hermit,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HERMIT,WAITE_PKD_1910,REVERSED,GENERAL,두려움과 과도한 조심성 때문에 숨거나 불필요하게 물러나는 상태,혼자 판단하지 말고 신뢰할 사람에게 사실을 점검받으세요.,,-2,0,0,2,0,DERIVED,Part III §3 — 9. The Hermit,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
WHEEL_OF_FORTUNE,WAITE_PKD_1910,UPRIGHT,GENERAL,운과 외부 조건이 바뀌며 성공·상승·기회가 빠르게 들어오는 흐름,기회가 왔을 때 실행할 준비와 손실 한도를 함께 정하세요.,,4,3,5,2,1,DERIVED,Part III §3 — 10. Wheel of Fortune,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
WHEEL_OF_FORTUNE,WAITE_PKD_1910,REVERSED,GENERAL,증가와 풍요가 지나쳐 관리되지 않는 과잉으로 변할 수 있는 흐름,양을 늘리기보다 적정 수준과 중단 기준을 정하세요.,,-1,4,4,1,0,DERIVED,Part III §3 — 10. Wheel of Fortune,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
JUSTICE,WAITE_PKD_1910,UPRIGHT,GENERAL,증거와 원칙에 따른 공정한 판단이 책임 있는 결과로 이어지는 상태,감정과 별개로 기준·증거·책임을 확인하세요.,,3,2,2,5,1,DERIVED,Part III §3 — 11. Justice,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
JUSTICE,WAITE_PKD_1910,REVERSED,GENERAL,법·규칙·신념이 편향되거나 지나치게 엄격해 복잡한 분쟁을 만드는 상태,판단 기준이 모두에게 동일하게 적용되는지 확인하세요.,,-3,2,1,1,0,DERIVED,Part III §3 — 11. Justice,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HANGED_MAN,WAITE_PKD_1910,UPRIGHT,GENERAL,시련과 희생을 받아들이며 멈춰서 다른 관점과 직관을 얻는 단계,무엇을 포기하고 무엇을 얻는지 명확히 하세요.,,0,0,0,2,2,DERIVED,Part III §3 — 12. The Hanged Man,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HANGED_MAN,WAITE_PKD_1910,REVERSED,GENERAL,공동의 문제보다 개인 이익이나 집단 압력에 끌려 통찰 없이 머무는 상태,내 이익과 공동의 책임 사이의 균형을 확인하세요.,,-2,2,1,1,0,DERIVED,Part III §3 — 12. The Hanged Man,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
DEATH,WAITE_PKD_1910,UPRIGHT,GENERAL,기존 국면이 끝나고 낡은 구조가 해체되는 강한 종료와 전환,끝내야 할 부분과 남겨야 할 자산을 구분하세요.,,-2,1,1,1,5,DERIVED,Part III §3 — 13. Death,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
DEATH,WAITE_PKD_1910,REVERSED,GENERAL,끝내야 할 것을 놓지 못해 무기력·고착·희망 상실로 이어지는 상태,정체를 깨기 위한 가장 작은 행동을 기한과 함께 정하세요.,,-2,0,0,2,0,DERIVED,Part III §3 — 13. Death,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TEMPERANCE,WAITE_PKD_1910,UPRIGHT,GENERAL,절약·절제·관리와 타협으로 서로 다른 조건을 실용적으로 조율하는 상태,양쪽 조건을 비교해 지속 가능한 중간점을 찾으세요.,,2,2,2,4,0,DERIVED,Part III §3 — 14. Temperance,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TEMPERANCE,WAITE_PKD_1910,REVERSED,GENERAL,서로 다른 이해관계가 섞이지 못하고 분열·경쟁·불운한 결합으로 흐르는 상태,합의되지 않은 기대와 역할을 말로 확인하세요.,,-3,3,2,1,1,DERIVED,Part III §3 — 14. Temperance,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
DEVIL,WAITE_PKD_1910,UPRIGHT,GENERAL,강한 욕망과 압력이 행동을 몰아붙여 스스로 멈추기 어려워지는 상태,멈추기 어려운 행동의 대가를 먼저 계산하세요.,운명이나 충동을 책임 회피의 근거로 삼지 마세요.,-3,4,3,0,0,DERIVED,Part III §3 — 15. The Devil,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
DEVIL,WAITE_PKD_1910,REVERSED,GENERAL,두려움과 무력감 때문에 해로운 구조를 보면서도 벗어나지 못하는 상태,가장 두려운 결과와 그 대응책을 구체화하세요.,,-3,0,0,1,0,DERIVED,Part III §3 — 15. The Devil,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TOWER,WAITE_PKD_1910,UPRIGHT,GENERAL,예상하지 못한 재난이나 폭로가 기존 구조를 급격히 무너뜨리는 흐름,무너진 가정과 실제로 남은 자원을 분리하세요.,충격 속에서 추가 결정을 서두르지 마세요.,-4,4,5,0,4,DERIVED,Part III §3 — 16. The Tower,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TOWER,WAITE_PKD_1910,REVERSED,GENERAL,충격은 약해졌지만 억압·구속·불안정한 구조가 여전히 남아 있는 상태,바꿀 수 있는 제한과 바꿀 수 없는 제한을 구분하세요.,제약을 영구적인 운명으로 단정하지 마세요.,-3,1,1,1,1,DERIVED,Part III §3 — 16. The Tower,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
STAR,WAITE_PKD_1910,UPRIGHT,GENERAL,상실 가능성이 함께 존재해도 밝은 전망과 회복의 방향을 다시 발견하는 흐름,희망을 유지할 수 있는 현실적 행동을 하나 정하세요.,,4,3,2,4,0,DERIVED,Part III §3 — 17. The Star,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
STAR,WAITE_PKD_1910,REVERSED,GENERAL,자만이나 무력감 때문에 남아 있는 가능성을 제대로 활용하지 못하는 상태,실패 원인을 작게 나누고 다시 시도할 조건을 정하세요.,,-2,1,1,1,1,DERIVED,Part III §3 — 17. The Star,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
MOON,WAITE_PKD_1910,UPRIGHT,GENERAL,숨은 위험·오해·기만과 불분명한 정보가 판단을 흐리는 상태,추측과 사실을 구분하고 확인 가능한 정보부터 모으세요.,,-2,1,1,0,0,DERIVED,Part III §3 — 18. The Moon,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
MOON,WAITE_PKD_1910,REVERSED,GENERAL,큰 기만은 약해져도 불안정과 의심이 남아 확신하기 어려운 상태,의심을 해소할 수 있는 증거와 질문을 정하세요.,,-2,1,1,1,0,DERIVED,Part III §3 — 18. The Moon,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SUN,WAITE_PKD_1910,UPRIGHT,GENERAL,물질적 행복·관계의 성취·만족이 밝고 분명하게 드러나는 흐름,좋은 흐름을 함께 나누고 유지할 조건을 마련하세요.,,5,4,4,5,0,DERIVED,Part III §3 — 19. The Sun,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SUN,WAITE_PKD_1910,REVERSED,GENERAL,좋은 흐름은 남아 있지만 기대보다 규모나 만족감이 작아지는 상태,좋은 조건을 당연시하지 말고 유지 요인을 확인하세요.,,2,2,2,3,0,DERIVED,Part III §3 — 19. The Sun,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
JUDGEMENT,WAITE_PKD_1910,UPRIGHT,GENERAL,지위와 상황이 바뀌며 지난 과정을 평가하고 새롭게 갱신되는 결과,지금까지의 결과를 평가하고 다음 기준을 명확히 하세요.,,3,3,3,3,2,DERIVED,Part III §3 — 20. The Last Judgment,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
JUDGEMENT,WAITE_PKD_1910,REVERSED,GENERAL,판단을 오래 미루거나 자신감이 약해져 결론과 책임을 확정하지 못하는 상태,결정 기준을 세 가지 이하로 줄이고 기한을 정하세요.,,-1,0,0,2,0,DERIVED,Part III §3 — 20. The Last Judgment,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
WORLD,WAITE_PKD_1910,UPRIGHT,GENERAL,한 주기가 확실한 성공·보상·이동으로 마무리되는 완성의 흐름,완료 기준을 확인하고 다음 주기로 넘어갈 준비를 하세요.,,5,3,2,5,4,DERIVED,Part III §3 — 21. The World,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
WORLD,WAITE_PKD_1910,REVERSED,GENERAL,끝내야 할 단계가 고정과 관성에 묶여 완성되지 못하고 정체되는 상태,정체를 깨기 위한 가장 작은 행동을 기한과 함께 정하세요.,,-2,0,0,2,0,DERIVED,Part III §3 — 21. The World,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
ACE_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,창조·발명·사업·출생처럼 새로운 힘이 처음 시작되는 원점,아이디어를 가장 작은 실행 가능한 형태로 만드세요.,,4,5,4,2,0,DERIVED,"Part III §2 — Wands, Ace",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
ACE_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,시작의 힘이 쇠퇴하거나 무너져 기쁨과 성장이 흐려지는 상태,실패 원인을 작게 나누고 다시 시도할 조건을 정하세요.,,-2,1,1,1,1,DERIVED,"Part III §2 — Wands, Ace",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TWO_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,넓은 영역과 가능성을 바라보지만 성취와 불만이 함께 존재하는 계획 단계,가능성보다 실행 조건과 선택 기준을 먼저 정하세요.,,2,3,2,3,0,DERIVED,"Part III §2 — Wands, Two",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TWO_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,예상 밖의 감정과 놀람이 두려움·혼란과 뒤섞이는 상태,확실한 사실과 아직 모르는 조건을 분리하세요.,,-1,1,2,0,0,DERIVED,"Part III §2 — Wands, Two",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
THREE_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,사업·교역·탐색이 협력과 함께 넓은 시장으로 확장되는 흐름,확장 전에 필요한 자원과 협력 조건을 점검하세요.,,3,4,3,3,0,DERIVED,"Part III §2 — Wands, Three",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
THREE_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,고난과 실망이 멈추고 문제가 끝나면서 회복 여지가 생기는 흐름,회복 신호를 확인하고 재발 원인을 정리하세요.,,3,2,2,3,1,DERIVED,"Part III §2 — Wands, Three",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
FOUR_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,안식처·화합·번영과 완성된 일을 함께 기뻐하는 안정된 상태,완료된 성과를 인정하고 다음 단계의 기준을 정하세요.,,4,4,3,4,1,DERIVED,"Part III §2 — Wands, Four",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
FOUR_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,정방향과 마찬가지로 번영·증가·행복이 이어지는 흐름,이미 가진 자원과 성장 조건을 구체적으로 활용하세요.,,4,3,2,4,0,DERIVED,"Part III §2 — Wands, Four",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
FIVE_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,성과와 자원을 얻기 위해 여러 사람이 치열하게 경쟁하고 부딪히는 상태,싸워야 할 쟁점과 양보 가능한 쟁점을 구분하세요.,승패에만 집중하면 장기 관계가 손상될 수 있습니다.,-2,5,4,1,0,DERIVED,"Part III §2 — Wands, Five",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
FIVE_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,경쟁이 소송·논쟁·속임수와 모순으로 악화되는 상태,싸워야 할 쟁점과 양보 가능한 쟁점을 구분하세요.,승패에만 집중하면 장기 관계가 손상될 수 있습니다.,-2,5,4,1,0,DERIVED,"Part III §2 — Wands, Five",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SIX_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,승리·좋은 소식·기대하던 인정을 얻어 성과가 공개되는 흐름,성과를 객관적인 결과와 다음 기회로 연결하세요.,,4,4,3,4,1,DERIVED,"Part III §2 — Wands, Six",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SIX_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,승리를 앞두고 배신·두려움·불확실한 지연이 끼어드는 상태,실패 원인을 작게 나누고 다시 시도할 조건을 정하세요.,,-2,1,1,1,1,DERIVED,"Part III §2 — Wands, Six",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SEVEN_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,유리한 위치에서 경쟁과 협상을 버티며 자신의 성과를 지키는 상태,지켜야 할 핵심 기준과 소모적인 싸움을 구분하세요.,,2,4,2,3,0,DERIVED,"Part III §2 — Wands, Seven",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
SEVEN_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,당황·불안·우유부단 때문에 방어와 협상이 흔들리는 상태,사실과 예상 걱정을 분리해 적어보세요.,불안을 확정된 결과로 받아들이지 마세요.,-4,0,0,0,0,DERIVED,"Part III §2 — Wands, Seven",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EIGHT_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,일·연락·감정이 목표를 향해 매우 빠르게 움직이는 흐름,속도가 붙기 전에 결정 기준과 담당을 정하세요.,속도 때문에 조건 검토를 생략하지 마세요.,3,5,5,2,0,DERIVED,"Part III §2 — Wands, Eight",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EIGHT_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,속도가 질투·양심의 가책·말다툼과 내부 갈등으로 흩어지는 상태,싸워야 할 쟁점과 양보 가능한 쟁점을 구분하세요.,승패에만 집중하면 장기 관계가 손상될 수 있습니다.,-2,5,4,1,0,DERIVED,"Part III §2 — Wands, Eight",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
NINE_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,공격을 예상하면서도 버틸 힘을 유지하고 경계를 늦추지 않는 상태,지켜야 할 핵심 기준과 소모적인 싸움을 구분하세요.,,2,4,2,3,0,DERIVED,"Part III §2 — Wands, Nine",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
NINE_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,장애·역경·재난 때문에 버티는 힘과 진행이 크게 약해지는 상태,실패 원인을 작게 나누고 다시 시도할 조건을 정하세요.,,-2,1,1,1,1,DERIVED,"Part III §2 — Wands, Nine",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TEN_OF_WANDS,WAITE_PKD_1910,UPRIGHT,GENERAL,성공과 이익을 얻었어도 책임·압박·가식이 무겁게 짓누르는 상태,직접 해야 할 일과 위임할 일을 나누세요.,성과 욕심 때문에 감당 범위를 넘기지 마세요.,-3,4,2,1,2,DERIVED,"Part III §2 — Wands, Ten",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
TEN_OF_WANDS,WAITE_PKD_1910,REVERSED,GENERAL,어려움·모순·책략이 얽혀 부담을 내려놓기조차 쉽지 않은 상태,싸워야 할 쟁점과 양보 가능한 쟁점을 구분하세요.,승패에만 집중하면 장기 관계가 손상될 수 있습니다.,-2,5,4,1,0,DERIVED,"Part III §2 — Wands, Ten",,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
