card_code,orientation,context,tag_code,weight,is_primary
WHEEL_OF_FORTUNE,UPRIGHT,GENERAL,FORTUNE,1.0,true
WHEEL_OF_FORTUNE,UPRIGHT,GENERAL,SUCCESS,0.85,false
WHEEL_OF_FORTUNE,REVERSED,GENERAL,EXCESS,1.0,true
WHEEL_OF_FORTUNE,REVERSED,GENERAL,ABUNDANCE,0.85,false
JUSTICE,UPRIGHT,GENERAL,JUSTICE,1.0,true
JUSTICE,UPRIGHT,GENERAL,BALANCE,0.85,false
JUSTICE,REVERSED,GENERAL,BIAS,1.0,true
JUSTICE,REVERSED,GENERAL,CONFLICT,0.85,false
HANGED_MAN,UPRIGHT,GENERAL,SACRIFICE,1.0,true
HANGED_MAN,UPRIGHT,GENERAL,PAUSE,0.85,false
HANGED_MAN,REVERSED,GENERAL,SELF_INTEREST,1.0,true
HANGED_MAN,REVERSED,GENERAL,CONFORMITY,0.85,false
DEATH,UPRIGHT,GENERAL,ENDING,1.0,true
DEATH,UPRIGHT,GENERAL,TRANSITION,0.85,false
DEATH,REVERSED,GENERAL,STAGNATION,1.0,true
DEATH,REVERSED,GENERAL,APATHY,0.85,false
TEMPERANCE,UPRIGHT,GENERAL,BALANCE,1.0,true
TEMPERANCE,UPRIGHT,GENERAL,PRUDENCE,0.85,false
TEMPERANCE,REVERSED,GENERAL,DISHARMONY,1.0,true
TEMPERANCE,REVERSED,GENERAL,CONFLICT,0.85,false
DEVIL,UPRIGHT,GENERAL,COMPULSION,1.0,true
DEVIL,UPRIGHT,GENERAL,ATTACHMENT,0.85,false
DEVIL,REVERSED,GENERAL,FEAR,1.0,true
DEVIL,REVERSED,GENERAL,RESTRICTION,0.85,false
TOWER,UPRIGHT,GENERAL,DISRUPTION,1.0,true
TOWER,UPRIGHT,GENERAL,ENDING,0.85,false
TOWER,REVERSED,GENERAL,RESTRICTION,1.0,true
TOWER,REVERSED,GENERAL,RIGIDITY,0.85,false
STAR,UPRIGHT,GENERAL,HOPE,1.0,true
STAR,UPRIGHT,GENERAL,RECOVERY,0.85,false
STAR,UPRIGHT,GENERAL,LOSS,0.75,false
STAR,REVERSED,GENERAL,SETBACK,1.0,true
STAR,REVERSED,GENERAL,SUPERFICIALITY,0.85,false
MOON,UPRIGHT,GENERAL,ILLUSION,1.0,true
MOON,UPRIGHT,GENERAL,HIDDEN,0.85,false
MOON,UPRIGHT,GENERAL,DECEPTION,0.75,false
MOON,REVERSED,GENERAL,DOUBT,1.0,true
MOON,REVERSED,GENERAL,UNCERTAINTY,0.85,false
SUN,UPRIGHT,GENERAL,JOY,1.0,true
SUN,UPRIGHT,GENERAL,SUCCESS,0.85,false
SUN,REVERSED,GENERAL,DIMINISHED_JOY,1.0,true
SUN,REVERSED,GENERAL,IMPERFECTION,0.85,false
JUDGEMENT,UPRIGHT,GENERAL,AWAKENING,1.0,true
JUDGEMENT,UPRIGHT,GENERAL,RENEWAL,0.85,false
JUDGEMENT,REVERSED,GENERAL,INDECISION,1.0,true
JUDGEMENT,REVERSED,GENERAL,SETBACK,0.85,false
WORLD,UPRIGHT,GENERAL,COMPLETION,1.0,true
WORLD,UPRIGHT,GENERAL,SUCCESS,0.85,false
WORLD,UPRIGHT,GENERAL,MOVEMENT,0.75,false
WORLD,REVERSED,GENERAL,STAGNATION,1.0,true
WORLD,REVERSED,GENERAL,DELAY,0.85,false
ACE_OF_WANDS,UPRIGHT,GENERAL,CREATION,1.0,true
ACE_OF_WANDS,UPRIGHT,GENERAL,BEGINNING,0.85,false
ACE_OF_WANDS,REVERSED,GENERAL,SETBACK,1.0,true
ACE_OF_WANDS,REVERSED,GENERAL,LOSS,0.85,false
TWO_OF_WANDS,UPRIGHT,GENERAL,PLANNING,1.0,true
TWO_OF_WANDS,UPRIGHT,GENERAL,CONTROL,0.85,false
TWO_OF_WANDS,UPRIGHT,GENERAL,UNCERTAINTY,0.75,false
TWO_OF_WANDS,REVERSED,GENERAL,UNCERTAINTY,1.0,true
TWO_OF_WANDS,REVERSED,GENERAL,FEAR,0.85,false
THREE_OF_WANDS,UPRIGHT,GENERAL,EXPANSION,1.0,true
THREE_OF_WANDS,UPRIGHT,GENERAL,WORK,0.85,false
THREE_OF_WANDS,UPRIGHT,GENERAL,RELATIONSHIP,0.75,false
THREE_OF_WANDS,REVERSED,GENERAL,RECOVERY,1.0,true
THREE_OF_WANDS,REVERSED,GENERAL,ENDING,0.85,false
FOUR_OF_WANDS,UPRIGHT,GENERAL,CELEBRATION,1.0,true
FOUR_OF_WANDS,UPRIGHT,GENERAL,SECURITY,0.85,false
FOUR_OF_WANDS,REVERSED,GENERAL,ABUNDANCE,1.0,true
FOUR_OF_WANDS,REVERSED,GENERAL,CELEBRATION,0.85,false
FIVE_OF_WANDS,UPRIGHT,GENERAL,CONFLICT,1.0,true
FIVE_OF_WANDS,UPRIGHT,GENERAL,WORK,0.85,false
FIVE_OF_WANDS,REVERSED,GENERAL,CONFLICT,1.0,true
FIVE_OF_WANDS,REVERSED,GENERAL,DECEPTION,0.85,false
SIX_OF_WANDS,UPRIGHT,GENERAL,SUCCESS,1.0,true
SIX_OF_WANDS,UPRIGHT,GENERAL,MESSAGE,0.85,false
SIX_OF_WANDS,UPRIGHT,GENERAL,VICTORY,0.75,false
SIX_OF_WANDS,REVERSED,GENERAL,SETBACK,1.0,true
SIX_OF_WANDS,REVERSED,GENERAL,DELAY,0.85,false
SIX_OF_WANDS,REVERSED,GENERAL,DECEPTION,0.75,false
SEVEN_OF_WANDS,UPRIGHT,GENERAL,DEFENCE,1.0,true
SEVEN_OF_WANDS,UPRIGHT,GENERAL,CONFLICT,0.85,false
SEVEN_OF_WANDS,UPRIGHT,GENERAL,SUCCESS,0.75,false
SEVEN_OF_WANDS,REVERSED,GENERAL,ANXIETY,1.0,true
SEVEN_OF_WANDS,REVERSED,GENERAL,INDECISION,0.85,false
EIGHT_OF_WANDS,UPRIGHT,GENERAL,MOVEMENT,1.0,true
EIGHT_OF_WANDS,UPRIGHT,GENERAL,MESSAGE,0.85,false
EIGHT_OF_WANDS,REVERSED,GENERAL,CONFLICT,1.0,true
EIGHT_OF_WANDS,REVERSED,GENERAL,ANXIETY,0.85,false
NINE_OF_WANDS,UPRIGHT,GENERAL,DEFENCE,1.0,true
NINE_OF_WANDS,UPRIGHT,GENERAL,VIGILANCE,0.85,false
NINE_OF_WANDS,UPRIGHT,GENERAL,DELAY,0.75,false
NINE_OF_WANDS,REVERSED,GENERAL,SETBACK,1.0,true
NINE_OF_WANDS,REVERSED,GENERAL,RESTRICTION,0.85,false
TEN_OF_WANDS,UPRIGHT,GENERAL,BURDEN,1.0,true
TEN_OF_WANDS,UPRIGHT,GENERAL,SUCCESS,0.85,false
TEN_OF_WANDS,UPRIGHT,GENERAL,DECEPTION,0.75,false
TEN_OF_WANDS,REVERSED,GENERAL,CONFLICT,1.0,true
TEN_OF_WANDS,REVERSED,GENERAL,BURDEN,0.85,false
PAGE_OF_WANDS,UPRIGHT,GENERAL,MESSAGE,1.0,true
PAGE_OF_WANDS,UPRIGHT,GENERAL,BEGINNING,0.85,false
PAGE_OF_WANDS,REVERSED,GENERAL,INDECISION,1.0,true
PAGE_OF_WANDS,REVERSED,GENERAL,MESSAGE,0.85,false
PAGE_OF_WANDS,REVERSED,GENERAL,SETBACK,0.75,false
KNIGHT_OF_WANDS,UPRIGHT,GENERAL,MOVEMENT,1.0,true
KNIGHT_OF_WANDS,UPRIGHT,GENERAL,DEPARTURE,0.85,false
KNIGHT_OF_WANDS,REVERSED,GENERAL,DISRUPTION,1.0,true
KNIGHT_OF_WANDS,REVERSED,GENERAL,DISHARMONY,0.85,false
QUEEN_OF_WANDS,UPRIGHT,GENERAL,NURTURE,1.0,true
QUEEN_OF_WANDS,UPRIGHT,GENERAL,SUCCESS,0.85,false
QUEEN_OF_WANDS,UPRIGHT,GENERAL,RELATIONSHIP,0.75,false
QUEEN_OF_WANDS,REVERSED,GENERAL,DECEPTION,1.0,true
QUEEN_OF_WANDS,REVERSED,GENERAL,CONFLICT,0.85,false
KING_OF_WANDS,UPRIGHT,GENERAL,LEADERSHIP,1.0,true
KING_OF_WANDS,UPRIGHT,GENERAL,MESSAGE,0.85,false
KING_OF_WANDS,REVERSED,GENERAL,RIGIDITY,1.0,true
KING_OF_WANDS,REVERSED,GENERAL,AUTHORITY,0.85,false
ACE_OF_CUPS,UPRIGHT,GENERAL,EMOTION,1.0,true
ACE_OF_CUPS,UPRIGHT,GENERAL,ABUNDANCE,0.85,false
ACE_OF_CUPS,UPRIGHT,GENERAL,BEGINNING,0.75,false
ACE_OF_CUPS,REVERSED,GENERAL,DISHARMONY,1.0,true
ACE_OF_CUPS,REVERSED,GENERAL,UNCERTAINTY,0.85,false
TWO_OF_CUPS,UPRIGHT,GENERAL,RELATIONSHIP,1.0,true
TWO_OF_CUPS,UPRIGHT,GENERAL,BALANCE,0.85,false
TWO_OF_CUPS,REVERSED,GENERAL,IMPULSIVITY,1.0,true
TWO_OF_CUPS,REVERSED,GENERAL,RELATIONSHIP,0.85,false
THREE_OF_CUPS,UPRIGHT,GENERAL,CELEBRATION,1.0,true
THREE_OF_CUPS,UPRIGHT,GENERAL,HEALING,0.85,false
THREE_OF_CUPS,UPRIGHT,GENERAL,SUCCESS,0.75,false
THREE_OF_CUPS,REVERSED,GENERAL,OVERINDULGENCE,1.0,true
THREE_OF_CUPS,REVERSED,GENERAL,ENDING,0.85,false
FOUR_OF_CUPS,UPRIGHT,GENERAL,APATHY,1.0,true
FOUR_OF_CUPS,UPRIGHT,GENERAL,UNCERTAINTY,0.85,false
FOUR_OF_CUPS,REVERSED,GENERAL,BEGINNING,1.0,true
FOUR_OF_CUPS,REVERSED,GENERAL,MESSAGE,0.85,false
FOUR_OF_CUPS,REVERSED,GENERAL,RELATIONSHIP,0.75,false
FIVE_OF_CUPS,UPRIGHT,GENERAL,LOSS,1.0,true
FIVE_OF_CUPS,UPRIGHT,GENERAL,RELATIONSHIP,0.85,false
FIVE_OF_CUPS,REVERSED,GENERAL,RETURN,1.0,true
FIVE_OF_CUPS,REVERSED,GENERAL,DECEPTION,0.85,false
SIX_OF_CUPS,UPRIGHT,GENERAL,MEMORY,1.0,true
SIX_OF_CUPS,UPRIGHT,GENERAL,RELATIONSHIP,0.85,false
SIX_OF_CUPS,REVERSED,GENERAL,RENEWAL,1.0,true
SIX_OF_CUPS,REVERSED,GENERAL,BEGINNING,0.85,false
SEVEN_OF_CUPS,UPRIGHT,GENERAL,FANTASY,1.0,true
SEVEN_OF_CUPS,UPRIGHT,GENERAL,ILLUSION,0.85,false
SEVEN_OF_CUPS,REVERSED,GENERAL,DETERMINATION,1.0,true
SEVEN_OF_CUPS,REVERSED,GENERAL,PLANNING,0.85,false
EIGHT_OF_CUPS,UPRIGHT,GENERAL,DEPARTURE,1.0,true
EIGHT_OF_CUPS,UPRIGHT,GENERAL,ENDING,0.85,false
EIGHT_OF_CUPS,REVERSED,GENERAL,JOY,1.0,true
EIGHT_OF_CUPS,REVERSED,GENERAL,CELEBRATION,0.85,false
NINE_OF_CUPS,UPRIGHT,GENERAL,SATISFACTION,1.0,true
NINE_OF_CUPS,UPRIGHT,GENERAL,SUCCESS,0.85,false
NINE_OF_CUPS,REVERSED,GENERAL,IMPERFECTION,1.0,true
NINE_OF_CUPS,REVERSED,GENERAL,CLARITY,0.85,false
TEN_OF_CUPS,UPRIGHT,GENERAL,FAMILY,1.0,true
TEN_OF_CUPS,UPRIGHT,GENERAL,RELATIONSHIP,0.85,false
TEN_OF_CUPS,UPRIGHT,GENERAL,JOY,0.75,false
TEN_OF_CUPS,REVERSED,GENERAL,DISHARMONY,1.0,true
TEN_OF_CUPS,REVERSED,GENERAL,DECEPTION,0.85,false
PAGE_OF_CUPS,UPRIGHT,GENERAL,MESSAGE,1.0,true
PAGE_OF_CUPS,UPRIGHT,GENERAL,LEARNING,0.85,false
PAGE_OF_CUPS,UPRIGHT,GENERAL,EMOTION,0.75,false
PAGE_OF_CUPS,REVERSED,GENERAL,DECEPTION,1.0,true
PAGE_OF_CUPS,REVERSED,GENERAL,ATTACHMENT,0.85,false
KNIGHT_OF_CUPS,UPRIGHT,GENERAL,OFFER,1.0,true
KNIGHT_OF_CUPS,UPRIGHT,GENERAL,MESSAGE,0.85,false
KNIGHT_OF_CUPS,UPRIGHT,GENERAL,RELATIONSHIP,0.75,false
KNIGHT_OF_CUPS,REVERSED,GENERAL,DECEPTION,1.0,true
KNIGHT_OF_CUPS,REVERSED,GENERAL,OFFER,0.85,false
QUEEN_OF_CUPS,UPRIGHT,GENERAL,INTUITION,1.0,true
QUEEN_OF_CUPS,UPRIGHT,GENERAL,NURTURE,0.85,false
QUEEN_OF_CUPS,UPRIGHT,GENERAL,JOY,0.75,false
QUEEN_OF_CUPS,REVERSED,GENERAL,DECEPTION,1.0,true
QUEEN_OF_CUPS,REVERSED,GENERAL,DOUBT,0.85,false
KING_OF_CUPS,UPRIGHT,GENERAL,MASTERY,1.0,true
KING_OF_CUPS,UPRIGHT,GENERAL,JUSTICE,0.85,false
KING_OF_CUPS,UPRIGHT,GENERAL,EMOTION,0.75,false
KING_OF_CUPS,REVERSED,GENERAL,DECEPTION,1.0,true
KING_OF_CUPS,REVERSED,GENERAL,ABUSE,0.85,false
KING_OF_CUPS,REVERSED,GENERAL,LOSS,0.75,false
ACE_OF_SWORDS,UPRIGHT,GENERAL,BREAKTHROUGH,1.0,true
ACE_OF_SWORDS,UPRIGHT,GENERAL,VICTORY,0.85,false
ACE_OF_SWORDS,REVERSED,GENERAL,MISUSE,1.0,true
ACE_OF_SWORDS,REVERSED,GENERAL,CONFLICT,0.85,false
TWO_OF_SWORDS,UPRIGHT,GENERAL,BALANCE,1.0,true
TWO_OF_SWORDS,UPRIGHT,GENERAL,INDECISION,0.85,false
TWO_OF_SWORDS,REVERSED,GENERAL,DECEPTION,1.0,true
TWO_OF_SWORDS,REVERSED,GENERAL,DISHARMONY,0.85,false
THREE_OF_SWORDS,UPRIGHT,GENERAL,HEARTBREAK,1.0,true
THREE_OF_SWORDS,UPRIGHT,GENERAL,LOSS,0.85,false
THREE_OF_SWORDS,REVERSED,GENERAL,UNCERTAINTY,1.0,true
THREE_OF_SWORDS,REVERSED,GENERAL,LOSS,0.85,false
FOUR_OF_SWORDS,UPRIGHT,GENERAL,REST,1.0,true
FOUR_OF_SWORDS,UPRIGHT,GENERAL,WITHDRAWAL,0.85,false
FOUR_OF_SWORDS,REVERSED,GENERAL,PRUDENCE,1.0,true
FOUR_OF_SWORDS,REVERSED,GENERAL,SECURITY,0.85,false
FIVE_OF_SWORDS,UPRIGHT,GENERAL,DEFEAT,1.0,true
FIVE_OF_SWORDS,UPRIGHT,GENERAL,LOSS,0.85,false
FIVE_OF_SWORDS,REVERSED,GENERAL,LOSS,1.0,true
FIVE_OF_SWORDS,REVERSED,GENERAL,ENDING,0.85,false
SIX_OF_SWORDS,UPRIGHT,GENERAL,TRANSITION,1.0,true
SIX_OF_SWORDS,UPRIGHT,GENERAL,MOVEMENT,0.85,false
SIX_OF_SWORDS,REVERSED,GENERAL,DISCLOSURE,1.0,true
SIX_OF_SWORDS,REVERSED,GENERAL,MESSAGE,0.85,false
SEVEN_OF_SWORDS,UPRIGHT,GENERAL,STRATEGY,1.0,true
SEVEN_OF_SWORDS,UPRIGHT,GENERAL,UNCERTAINTY,0.85,false
SEVEN_OF_SWORDS,REVERSED,GENERAL,MESSAGE,1.0,true
SEVEN_OF_SWORDS,REVERSED,GENERAL,DECEPTION,0.85,false
EIGHT_OF_SWORDS,UPRIGHT,GENERAL,RESTRICTION,1.0,true
EIGHT_OF_SWORDS,UPRIGHT,GENERAL,CONFLICT,0.85,false
EIGHT_OF_SWORDS,REVERSED,GENERAL,SETBACK,1.0,true
EIGHT_OF_SWORDS,REVERSED,GENERAL,UNPREPARED,0.85,false
EIGHT_OF_SWORDS,REVERSED,GENERAL,DECEPTION,0.75,false
NINE_OF_SWORDS,UPRIGHT,GENERAL,ANXIETY,1.0,true
NINE_OF_SWORDS,UPRIGHT,GENERAL,LOSS,0.85,false
NINE_OF_SWORDS,REVERSED,GENERAL,FEAR,1.0,true
NINE_OF_SWORDS,REVERSED,GENERAL,RESTRICTION,0.85,false
TEN_OF_SWORDS,UPRIGHT,GENERAL,ENDING,1.0,true
TEN_OF_SWORDS,UPRIGHT,GENERAL,LOSS,0.85,false
TEN_OF_SWORDS,REVERSED,GENERAL,RECOVERY,1.0,true
TEN_OF_SWORDS,REVERSED,GENERAL,SUCCESS,0.85,false
PAGE_OF_SWORDS,UPRIGHT,GENERAL,VIGILANCE,1.0,true
PAGE_OF_SWORDS,UPRIGHT,GENERAL,HIDDEN,0.85,false
PAGE_OF_SWORDS,REVERSED,GENERAL,UNPREPARED,1.0,true
PAGE_OF_SWORDS,REVERSED,GENERAL,DECEPTION,0.85,false
KNIGHT_OF_SWORDS,UPRIGHT,GENERAL,MOVEMENT,1.0,true
KNIGHT_OF_SWORDS,UPRIGHT,GENERAL,CONFLICT,0.85,false
KNIGHT_OF_SWORDS,UPRIGHT,GENERAL,COURAGE,0.75,false
KNIGHT_OF_SWORDS,REVERSED,GENERAL,IMPULSIVITY,1.0,true
KNIGHT_OF_SWORDS,REVERSED,GENERAL,SETBACK,0.85,false
QUEEN_OF_SWORDS,UPRIGHT,GENERAL,LOSS,1.0,true
QUEEN_OF_SWORDS,UPRIGHT,GENERAL,CLARITY,0.85,false
QUEEN_OF_SWORDS,REVERSED,GENERAL,DECEPTION,1.0,true
QUEEN_OF_SWORDS,REVERSED,GENERAL,BIAS,0.85,false
KING_OF_SWORDS,UPRIGHT,GENERAL,AUTHORITY,1.0,true
KING_OF_SWORDS,UPRIGHT,GENERAL,JUSTICE,0.85,false
KING_OF_SWORDS,REVERSED,GENERAL,ABUSE,1.0,true
KING_OF_SWORDS,REVERSED,GENERAL,DECEPTION,0.85,false
ACE_OF_PENTACLES,UPRIGHT,GENERAL,MATERIAL_OPPORTUNITY,1.0,true
ACE_OF_PENTACLES,UPRIGHT,GENERAL,ABUNDANCE,0.85,false
ACE_OF_PENTACLES,REVERSED,GENERAL,EXCESS,1.0,true
ACE_OF_PENTACLES,REVERSED,GENERAL,ATTACHMENT,0.85,false
TWO_OF_PENTACLES,UPRIGHT,GENERAL,ADAPTATION,1.0,true
TWO_OF_PENTACLES,UPRIGHT,GENERAL,MESSAGE,0.85,false
TWO_OF_PENTACLES,REVERSED,GENERAL,PRETENCE,1.0,true
TWO_OF_PENTACLES,REVERSED,GENERAL,UNCERTAINTY,0.85,false
THREE_OF_PENTACLES,UPRIGHT,GENERAL,WORK,1.0,true
THREE_OF_PENTACLES,UPRIGHT,GENERAL,SKILL,0.85,false
THREE_OF_PENTACLES,UPRIGHT,GENERAL,SUCCESS,0.75,false
THREE_OF_PENTACLES,REVERSED,GENERAL,MEDIOCRITY,1.0,true
THREE_OF_PENTACLES,REVERSED,GENERAL,SETBACK,0.85,false
FOUR_OF_PENTACLES,UPRIGHT,GENERAL,SECURITY,1.0,true
FOUR_OF_PENTACLES,UPRIGHT,GENERAL,CONTROL,0.85,false
FOUR_OF_PENTACLES,UPRIGHT,GENERAL,ATTACHMENT,0.75,false
FOUR_OF_PENTACLES,REVERSED,GENERAL,DELAY,1.0,true
FOUR_OF_PENTACLES,REVERSED,GENERAL,RESTRICTION,0.85,false
FIVE_OF_PENTACLES,UPRIGHT,GENERAL,POVERTY,1.0,true
FIVE_OF_PENTACLES,UPRIGHT,GENERAL,LOSS,0.85,false
FIVE_OF_PENTACLES,REVERSED,GENERAL,DISRUPTION,1.0,true
FIVE_OF_PENTACLES,REVERSED,GENERAL,WASTE,0.85,false
SIX_OF_PENTACLES,UPRIGHT,GENERAL,GENEROSITY,1.0,true
SIX_OF_PENTACLES,UPRIGHT,GENERAL,ABUNDANCE,0.85,false
SIX_OF_PENTACLES,REVERSED,GENERAL,GREED,1.0,true
SIX_OF_PENTACLES,REVERSED,GENERAL,ATTACHMENT,0.85,false
SEVEN_OF_PENTACLES,UPRIGHT,GENERAL,ASSESSMENT,1.0,true
SEVEN_OF_PENTACLES,UPRIGHT,GENERAL,WORK,0.85,false
SEVEN_OF_PENTACLES,REVERSED,GENERAL,ANXIETY,1.0,true
SEVEN_OF_PENTACLES,REVERSED,GENERAL,DOUBT,0.85,false
EIGHT_OF_PENTACLES,UPRIGHT,GENERAL,WORK,1.0,true
EIGHT_OF_PENTACLES,UPRIGHT,GENERAL,SKILL,0.85,false
EIGHT_OF_PENTACLES,REVERSED,GENERAL,MISUSE,1.0,true
EIGHT_OF_PENTACLES,REVERSED,GENERAL,GREED,0.85,false
NINE_OF_PENTACLES,UPRIGHT,GENERAL,INDEPENDENCE,1.0,true
NINE_OF_PENTACLES,UPRIGHT,GENERAL,SECURITY,0.85,false
NINE_OF_PENTACLES,UPRIGHT,GENERAL,SUCCESS,0.75,false
NINE_OF_PENTACLES,REVERSED,GENERAL,DECEPTION,1.0,true
NINE_OF_PENTACLES,REVERSED,GENERAL,SETBACK,0.85,false
TEN_OF_PENTACLES,UPRIGHT,GENERAL,LEGACY,1.0,true
TEN_OF_PENTACLES,UPRIGHT,GENERAL,FAMILY,0.85,false
TEN_OF_PENTACLES,UPRIGHT,GENERAL,ABUNDANCE,0.75,false
TEN_OF_PENTACLES,REVERSED,GENERAL,LOSS,1.0,true
TEN_OF_PENTACLES,REVERSED,GENERAL,UNCERTAINTY,0.85,false
PAGE_OF_PENTACLES,UPRIGHT,GENERAL,LEARNING,1.0,true
PAGE_OF_PENTACLES,UPRIGHT,GENERAL,MESSAGE,0.85,false
PAGE_OF_PENTACLES,UPRIGHT,GENERAL,WORK,0.75,false
PAGE_OF_PENTACLES,REVERSED,GENERAL,WASTE,1.0,true
PAGE_OF_PENTACLES,REVERSED,GENERAL,SETBACK,0.85,false
KNIGHT_OF_PENTACLES,UPRIGHT,GENERAL,RESPONSIBILITY,1.0,true
KNIGHT_OF_PENTACLES,UPRIGHT,GENERAL,WORK,0.85,false
KNIGHT_OF_PENTACLES,REVERSED,GENERAL,STAGNATION,1.0,true
KNIGHT_OF_PENTACLES,REVERSED,GENERAL,APATHY,0.85,false
QUEEN_OF_PENTACLES,UPRIGHT,GENERAL,ABUNDANCE,1.0,true
QUEEN_OF_PENTACLES,UPRIGHT,GENERAL,GENEROSITY,0.85,false
QUEEN_OF_PENTACLES,UPRIGHT,GENERAL,SECURITY,0.75,false
QUEEN_OF_PENTACLES,REVERSED,GENERAL,DOUBT,1.0,true
QUEEN_OF_PENTACLES,REVERSED,GENERAL,FEAR,0.85,false
KING_OF_PENTACLES,UPRIGHT,GENERAL,MASTERY,1.0,true
KING_OF_PENTACLES,UPRIGHT,GENERAL,SUCCESS,0.85,false
KING_OF_PENTACLES,UPRIGHT,GENERAL,SECURITY,0.75,false
KING_OF_PENTACLES,REVERSED,GENERAL,CORRUPTION,1.0,true
KING_OF_PENTACLES,REVERSED,GENERAL,GREED,0.85,false
