card_code,source_code,correspondence_type,value,source_locator,page_start,page_end,priority,review_status,review_method,review_notes,is_active
EMPRESS,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,14 CHOKMAH-BINAH,Liber LXXVIII — Trumps — EMPRESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPRESS,GOLDEN_DAWN_BOOK_T_1912,PLANET,VENUS,Liber LXXVIII — Trumps — EMPRESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPRESS,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,EARTH,Liber LXXVIII — Trumps — EMPRESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPEROR,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,"Son of the Morning, Chief among the Mighty",Liber LXXVIII — Trumps — EMPEROR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPEROR,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,HEH,Liber LXXVIII — Trumps — EMPEROR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPEROR,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,15 CHOKMAH-TIPHARETH,Liber LXXVIII — Trumps — EMPEROR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPEROR,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,ARIES,Liber LXXVIII — Trumps — EMPEROR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPEROR,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — EMPEROR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIEROPHANT,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Magus of the Eternal,Liber LXXVIII — Trumps — HIEROPHANT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIEROPHANT,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,VAV,Liber LXXVIII — Trumps — HIEROPHANT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIEROPHANT,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,16 CHOKMAH-CHESED,Liber LXXVIII — Trumps — HIEROPHANT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIEROPHANT,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,TAURUS,Liber LXXVIII — Trumps — HIEROPHANT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIEROPHANT,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,EARTH,Liber LXXVIII — Trumps — HIEROPHANT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
LOVERS,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Children of the Voice; the Oracles of the Mighty Gods,Liber LXXVIII — Trumps — LOVERS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
LOVERS,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,ZAYIN,Liber LXXVIII — Trumps — LOVERS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
LOVERS,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,17 BINAH-TIPHARETH,Liber LXXVIII — Trumps — LOVERS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
LOVERS,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,GEMINI,Liber LXXVIII — Trumps — LOVERS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
LOVERS,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,AIR,Liber LXXVIII — Trumps — LOVERS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
CHARIOT,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Child of the Powers of the Waters; the Lord of the Triumph of Light,Liber LXXVIII — Trumps — CHARIOT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
CHARIOT,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,CHETH,Liber LXXVIII — Trumps — CHARIOT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
CHARIOT,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,18 BINAH-GEBURAH,Liber LXXVIII — Trumps — CHARIOT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
CHARIOT,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,CANCER,Liber LXXVIII — Trumps — CHARIOT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
CHARIOT,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,WATER,Liber LXXVIII — Trumps — CHARIOT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STRENGTH,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Daughter of the Flaming Sword,Liber LXXVIII — Trumps — STRENGTH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STRENGTH,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,TETH,Liber LXXVIII — Trumps — STRENGTH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STRENGTH,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,19 CHESED-GEBURAH,Liber LXXVIII — Trumps — STRENGTH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STRENGTH,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,LEO,Liber LXXVIII — Trumps — STRENGTH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STRENGTH,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — STRENGTH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HERMIT,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Magus of the Voice of Power; the Prophet of the Eternal,Liber LXXVIII — Trumps — HERMIT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HERMIT,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,YOD,Liber LXXVIII — Trumps — HERMIT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HERMIT,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,20 CHESED-TIPHARETH,Liber LXXVIII — Trumps — HERMIT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HERMIT,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,VIRGO,Liber LXXVIII — Trumps — HERMIT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HERMIT,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,EARTH,Liber LXXVIII — Trumps — HERMIT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WHEEL_OF_FORTUNE,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Lord of the Forces of Life,Liber LXXVIII — Trumps — WHEEL_OF_FORTUNE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WHEEL_OF_FORTUNE,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,KAPH,Liber LXXVIII — Trumps — WHEEL_OF_FORTUNE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WHEEL_OF_FORTUNE,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,21 CHESED-NETZACH,Liber LXXVIII — Trumps — WHEEL_OF_FORTUNE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WHEEL_OF_FORTUNE,GOLDEN_DAWN_BOOK_T_1912,PLANET,JUPITER,Liber LXXVIII — Trumps — WHEEL_OF_FORTUNE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WHEEL_OF_FORTUNE,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — WHEEL_OF_FORTUNE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUSTICE,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Daughter of the Lords of Truth; the Ruler of the Balance,Liber LXXVIII — Trumps — JUSTICE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUSTICE,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,LAMED,Liber LXXVIII — Trumps — JUSTICE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUSTICE,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,22 GEBURAH-TIPHARETH,Liber LXXVIII — Trumps — JUSTICE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUSTICE,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,LIBRA,Liber LXXVIII — Trumps — JUSTICE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUSTICE,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,AIR,Liber LXXVIII — Trumps — JUSTICE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HANGED_MAN,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Spirit of the Mighty Waters,Liber LXXVIII — Trumps — HANGED_MAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HANGED_MAN,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,MEM,Liber LXXVIII — Trumps — HANGED_MAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HANGED_MAN,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,23 GEBURAH-HOD,Liber LXXVIII — Trumps — HANGED_MAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HANGED_MAN,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,WATER,Liber LXXVIII — Trumps — HANGED_MAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEATH,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Child of the Great Transformers; the Lord of the Gates of Death,Liber LXXVIII — Trumps — DEATH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEATH,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,NUN,Liber LXXVIII — Trumps — DEATH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEATH,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,24 TIPHARETH-NETZACH,Liber LXXVIII — Trumps — DEATH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEATH,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,SCORPIO,Liber LXXVIII — Trumps — DEATH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEATH,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,WATER,Liber LXXVIII — Trumps — DEATH,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TEMPERANCE,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Daughter of the Reconcilers; the Bringer-Forth of Life,Liber LXXVIII — Trumps — TEMPERANCE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TEMPERANCE,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,SAMEKH,Liber LXXVIII — Trumps — TEMPERANCE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TEMPERANCE,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,25 TIPHARETH-YESOD,Liber LXXVIII — Trumps — TEMPERANCE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TEMPERANCE,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,SAGITTARIUS,Liber LXXVIII — Trumps — TEMPERANCE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TEMPERANCE,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — TEMPERANCE,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEVIL,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Lord of the Gates of Matter; the Child of the Forces of Time,Liber LXXVIII — Trumps — DEVIL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEVIL,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,AYIN,Liber LXXVIII — Trumps — DEVIL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEVIL,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,26 TIPHARETH-HOD,Liber LXXVIII — Trumps — DEVIL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEVIL,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,CAPRICORN,Liber LXXVIII — Trumps — DEVIL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
DEVIL,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,EARTH,Liber LXXVIII — Trumps — DEVIL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TOWER,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Lord of the Hosts of the Mighty,Liber LXXVIII — Trumps — TOWER,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TOWER,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,PEH,Liber LXXVIII — Trumps — TOWER,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TOWER,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,27 NETZACH-HOD,Liber LXXVIII — Trumps — TOWER,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TOWER,GOLDEN_DAWN_BOOK_T_1912,PLANET,MARS,Liber LXXVIII — Trumps — TOWER,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
TOWER,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — TOWER,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STAR,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Daughter of the Firmament; the Dweller between the Waters,Liber LXXVIII — Trumps — STAR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STAR,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,TZADDI,Liber LXXVIII — Trumps — STAR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STAR,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,28 NETZACH-YESOD,Liber LXXVIII — Trumps — STAR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STAR,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,AQUARIUS,Liber LXXVIII — Trumps — STAR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
STAR,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,AIR,Liber LXXVIII — Trumps — STAR,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MOON,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Ruler of Flux and Reflux; the Child of the Sons of the Mighty,Liber LXXVIII — Trumps — MOON,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MOON,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,QOPH,Liber LXXVIII — Trumps — MOON,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MOON,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,29 NETZACH-MALKUTH,Liber LXXVIII — Trumps — MOON,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MOON,GOLDEN_DAWN_BOOK_T_1912,ZODIAC,PISCES,Liber LXXVIII — Trumps — MOON,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MOON,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,WATER,Liber LXXVIII — Trumps — MOON,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
SUN,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Lord of the Fire of the World,Liber LXXVIII — Trumps — SUN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
SUN,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,RESH,Liber LXXVIII — Trumps — SUN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
SUN,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,30 HOD-YESOD,Liber LXXVIII — Trumps — SUN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
SUN,GOLDEN_DAWN_BOOK_T_1912,PLANET,SUN,Liber LXXVIII — Trumps — SUN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
SUN,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — SUN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUDGEMENT,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Spirit of the Primal Fire,Liber LXXVIII — Trumps — JUDGEMENT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUDGEMENT,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,SHIN,Liber LXXVIII — Trumps — JUDGEMENT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUDGEMENT,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,31 HOD-MALKUTH,Liber LXXVIII — Trumps — JUDGEMENT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUDGEMENT,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,FIRE,Liber LXXVIII — Trumps — JUDGEMENT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
JUDGEMENT,GOLDEN_DAWN_BOOK_T_1912,ADDITIONAL_ATTRIBUTION,SPIRIT,Liber LXXVIII — Trumps — JUDGEMENT,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WORLD,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Great One of the Night of Time,Liber LXXVIII — Trumps — WORLD,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WORLD,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,TAV,Liber LXXVIII — Trumps — WORLD,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
WORLD,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,32 YESOD-MALKUTH,Liber LXXVIII — Trumps — WORLD,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
