from_tag_code,to_tag_code,context,relation_type,transition_text,score_delta,priority,source_code,source_locator,origin,review_status,review_method,review_notes,is_active
ENDING,BEGINNING,,REVERSE,기존 국면이 끝난 뒤 새로운 가능성이 열린다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DELAY,MOVEMENT,,ACCELERATE,지연되던 일이 실행과 연락으로 전환된다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
STAGNATION,BEGINNING,,REVERSE,고착된 상태를 벗어나 새로운 출발을 시도한다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
STAGNATION,MOVEMENT,,ACCELERATE,멈춰 있던 흐름에 다시 속도가 붙는다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
PAUSE,CLARITY,,RESOLVE,멈춰 관찰한 결과 판단이 선명해진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
PAUSE,MOVEMENT,,ACCELERATE,충분히 살핀 뒤 실제 행동으로 넘어간다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ILLUSION,CLARITY,,RESOLVE,불분명한 상황에서 사실과 방향이 드러난다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
FANTASY,DETERMINATION,,FORMALIZE,흩어진 가능성을 구체적인 계획으로 좁힌다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DOUBT,CLARITY,,RESOLVE,의심하던 조건을 확인해 판단이 선명해진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ANXIETY,REST,,SLOW_DOWN,불안한 흐름이 휴식과 거리 두기로 완화된다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ANXIETY,CLARITY,,RESOLVE,걱정을 사실과 분리하면서 판단이 또렷해진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
HEARTBREAK,HEALING,,RESOLVE,상처를 인정한 뒤 치유와 회복으로 넘어간다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
CONFLICT,BALANCE,,RESOLVE,대립하던 조건이 타협과 균형을 찾는다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
CONFLICT,FORMALIZATION,,FORMALIZE,갈등을 규칙·계약·절차로 정리한다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
CONFLICT,VICTORY,,IMPROVE,경쟁과 대립을 뚫고 우위를 확보한다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
PLANNING,MOVEMENT,,ACCELERATE,검토하던 계획이 실제 실행으로 넘어간다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
PLANNING,EXPANSION,,CONTINUE,계획이 협력과 더 넓은 기회로 확장된다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
MESSAGE,MOVEMENT,,ACCELERATE,소식이 들어오며 실제 진행 속도가 빨라진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
OFFER,FORMALIZATION,,FORMALIZE,제안이 구체적인 약속과 공식 조건으로 발전한다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
MOVEMENT,FORMALIZATION,,FORMALIZE,빠르게 진행되던 일이 계약과 절차로 구체화된다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
MOVEMENT,SUCCESS,,IMPROVE,빠른 실행이 눈에 보이는 성과로 이어진다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
SKILL,WORK,,CONTINUE,보유한 능력이 반복 작업과 실제 결과물로 연결된다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
SKILL,SUCCESS,,IMPROVE,능력을 집중해 인정받는 결과를 만든다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
LEARNING,SKILL,,IMPROVE,학습과 준비가 실제로 쓸 수 있는 능력으로 발전한다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
WORK,SUCCESS,,IMPROVE,꾸준한 작업이 성과와 인정을 만든다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
WORK,COMPLETION,,CONTINUE,반복해 쌓은 일이 완성 단계에 도달한다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
MATERIAL_OPPORTUNITY,WORK,,CONTINUE,현실적인 기회를 구체적인 실행과 노동으로 키운다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
SUCCESS,COMPLETION,,CONTINUE,성과가 보상과 완전한 마무리로 이어진다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
SUCCESS,BURDEN,,DECLINE,성과가 커진 만큼 책임과 압박도 무거워진다,-0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ABUNDANCE,GENEROSITY,,CONTINUE,풍요로운 자원이 나눔과 지원으로 확장된다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
GENEROSITY,GREED,,DECLINE,주고받던 관계에 욕심과 불균형이 개입한다,-0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RELATIONSHIP,FORMALIZATION,,FORMALIZE,상호 관계가 약속·동맹·공식 구조로 굳어진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RELATIONSHIP,DISHARMONY,,DECLINE,연결되어 있던 관계에 기대 차이와 불화가 드러난다,-0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DISHARMONY,RELATIONSHIP,,RESOLVE,엇갈린 관계가 다시 대화와 연결을 시도한다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
FORTUNE,SUCCESS,,IMPROVE,외부 기회가 실제 성과와 상승으로 연결된다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
AUTHORITY,JUSTICE,,CONTINUE,권한이 증거와 공정한 기준에 따라 행사된다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
AUTHORITY,ABUSE,,DECLINE,권한이 책임을 잃고 통제와 해로운 강압으로 변한다,-0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
CONTROL,STAGNATION,,BLOCK,붙잡으려는 태도가 변화와 이동을 막는다,-0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ATTACHMENT,ENDING,,RELEASE,집착하던 대상을 놓으며 한 국면을 끝낸다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DECEPTION,DISCLOSURE,,RESOLVE,숨기던 사실이 밖으로 드러나며 판단 근거가 생긴다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
PRUDENCE,MATERIAL_OPPORTUNITY,,IMPROVE,신중한 판단이 현실적인 기회를 포착한다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RESPONSIBILITY,SECURITY,,CONTINUE,꾸준한 책임 이행이 안정된 기반을 만든다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
INDEPENDENCE,LEGACY,,CONTINUE,개인의 성취가 오래 남는 기반과 유산으로 이어진다,0.3,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
